"symbol","date","open","high","low","close","volume","adjusted"
"EURUSD=X",2003-12-01,1.203398,1.204007,1.194401,1.196501,0,1.196501
"EURUSD=X",2003-12-02,1.196101,1.210903,1.1946,1.208897,0,1.208897
"EURUSD=X",2003-12-03,1.209,1.213003,1.2077,1.212298,0,1.212298
"EURUSD=X",2003-12-04,1.212004,1.214403,1.204398,1.208094,0,1.208094
"EURUSD=X",2003-12-05,1.207802,1.219096,1.206593,1.218695,0,1.218695
"EURUSD=X",2003-12-08,1.216797,1.224005,1.215407,1.222001,0,1.222001
"EURUSD=X",2003-12-09,1.222105,1.227702,1.219795,1.224995,0,1.224995
"EURUSD=X",2003-12-10,1.224905,1.226603,1.216205,1.219096,0,1.219096
"EURUSD=X",2003-12-11,1.219096,1.223496,1.212298,1.222404,0,1.222404
"EURUSD=X",2003-12-12,1.222703,1.230603,1.2213,1.227898,0,1.227898
"EURUSD=X",2003-12-15,1.218695,1.232499,1.217804,1.231997,0,1.231997
"EURUSD=X",2003-12-16,1.231406,1.235895,1.230497,1.232195,0,1.232195
"EURUSD=X",2003-12-17,1.231997,1.242005,1.229997,1.240202,0,1.240202
"EURUSD=X",2003-12-18,1.240202,1.244199,1.236598,1.242298,0,1.242298
"EURUSD=X",2003-12-19,1.242205,1.243503,1.235102,1.238497,0,1.238497
"EURUSD=X",2003-12-22,1.235697,1.244601,1.235697,1.239895,0,1.239895
"EURUSD=X",2003-12-23,1.239895,1.267202,1.238804,1.240003,0,1.240003
"EURUSD=X",2003-12-24,1.240095,1.247194,1.240003,1.245299,0,1.245299
"EURUSD=X",2003-12-25,1.245702,1.247007,1.244307,1.244803,0,1.244803
"EURUSD=X",2003-12-26,1.245004,1.2471,1.242699,1.243194,0,1.243194
"EURUSD=X",2003-12-29,1.243394,1.250797,1.242993,1.248393,0,1.248393
"EURUSD=X",2003-12-30,1.248595,1.256297,1.248299,1.254894,0,1.254894
"EURUSD=X",2003-12-31,1.255004,1.264894,1.253007,1.259002,0,1.259002
"EURUSD=X",2004-01-01,1.259002,1.260796,1.247396,1.258194,0,1.258194
"EURUSD=X",2004-01-02,1.258194,1.262802,1.252693,1.258194,0,1.258194
"EURUSD=X",2004-01-05,1.263903,1.269406,1.263695,1.268698,0,1.268698
"EURUSD=X",2004-01-06,1.268907,1.280803,1.267202,1.272103,0,1.272103
"EURUSD=X",2004-01-07,1.272394,1.273999,1.262499,1.264095,0,1.264095
"EURUSD=X",2004-01-08,1.264095,1.278707,1.256502,1.277498,0,1.277498
"EURUSD=X",2004-01-09,1.277498,1.286703,1.271294,1.285892,0,1.285892
"EURUSD=X",2004-01-12,1.284802,1.289707,1.273804,1.274096,0,1.274096
"EURUSD=X",2004-01-13,1.274405,1.279705,1.271892,1.278593,0,1.278593
"EURUSD=X",2004-01-14,1.278805,1.278805,1.240602,1.265102,0,1.265102
"EURUSD=X",2004-01-15,1.265599,1.267106,1.256897,1.260097,0,1.260097
"EURUSD=X",2004-01-16,1.260001,1.261002,1.2364,1.239803,0,1.239803
"EURUSD=X",2004-01-19,1.238697,1.242406,1.234004,1.235407,0,1.235407
"EURUSD=X",2004-01-20,1.235102,1.260208,1.234995,1.258907,0,1.258907
"EURUSD=X",2004-01-21,1.258099,1.266994,1.256597,1.265903,0,1.265903
"EURUSD=X",2004-01-22,1.265807,1.274892,1.264494,1.272508,0,1.272508
"EURUSD=X",2004-01-23,1.272394,1.277596,1.257008,1.258305,0,1.258305
"EURUSD=X",2004-01-26,1.257498,1.261098,1.246106,1.248798,0,1.248798
"EURUSD=X",2004-01-27,1.248595,1.265999,1.244694,1.263695,0,1.263695
"EURUSD=X",2004-01-28,1.263408,1.264398,1.242005,1.244199,0,1.244199
"EURUSD=X",2004-01-29,1.244106,1.252693,1.237103,1.241003,0,1.241003
"EURUSD=X",2004-01-30,1.241003,1.248502,1.235498,1.246805,0,1.246805
"EURUSD=X",2004-02-02,1.247598,1.248206,1.239603,1.243302,0,1.243302
"EURUSD=X",2004-02-03,1.253793,1.256108,1.2505,1.253494,0,1.253494
"EURUSD=X",2004-02-04,1.254595,1.256108,1.2505,1.253997,0,1.253997
"EURUSD=X",2004-02-05,1.253793,1.2636,1.252395,1.257197,0,1.257197
"EURUSD=X",2004-02-06,1.257008,1.272605,1.251894,1.270002,0,1.270002
"EURUSD=X",2004-02-09,1.265502,1.275705,1.265502,1.269406,0,1.269406
"EURUSD=X",2004-02-10,1.269293,1.278707,1.267395,1.268504,0,1.268504
"EURUSD=X",2004-02-11,1.268295,1.284703,1.265807,1.283005,0,1.283005
"EURUSD=X",2004-02-12,1.283302,1.284703,1.279607,1.281805,0,1.281805
"EURUSD=X",2004-02-13,1.281706,1.288992,1.272508,1.272799,0,1.272799
"EURUSD=X",2004-02-16,1.272993,1.279001,1.2722,1.276503,0,1.276503
"EURUSD=X",2004-02-17,1.276406,1.287797,1.276308,1.285793,0,1.285793
"EURUSD=X",2004-02-18,1.286306,1.292207,1.266592,1.272508,0,1.272508
"EURUSD=X",2004-02-19,1.272896,1.276699,1.265999,1.275705,0,1.275705
"EURUSD=X",2004-02-20,1.275803,1.276096,1.250297,1.254202,0,1.254202
"EURUSD=X",2004-02-23,1.250094,1.259398,1.245702,1.257197,0,1.257197
"EURUSD=X",2004-02-24,1.257197,1.2711,1.252897,1.267797,0,1.267797
"EURUSD=X",2004-02-25,1.267893,1.270406,1.248393,1.249703,0,1.249703
"EURUSD=X",2004-02-26,1.250094,1.251799,1.239695,1.244803,0,1.244803
"EURUSD=X",2004-02-27,1.244803,1.250704,1.238099,1.249407,0,1.249407
"EURUSD=X",2004-03-01,1.253903,1.254107,1.242993,1.244803,0,1.244803
"EURUSD=X",2004-03-02,1.245004,1.245004,1.220301,1.220405,0,1.220405
"EURUSD=X",2004-03-03,1.220197,1.222001,1.206899,1.219096,0,1.219096
"EURUSD=X",2004-03-04,1.219393,1.224095,1.2143,1.220703,0,1.220703
"EURUSD=X",2004-03-05,1.220495,1.242699,1.217997,1.236797,0,1.236797
"EURUSD=X",2004-03-08,1.236507,1.242607,1.234598,1.242607,0,1.242607
"EURUSD=X",2004-03-09,1.242607,1.246401,1.228697,1.231906,0,1.231906
"EURUSD=X",2004-03-10,1.242607,1.246401,1.220703,1.223197,0,1.223197
"EURUSD=X",2004-03-11,1.223197,1.238007,1.217404,1.235102,0,1.235102
"EURUSD=X",2004-03-12,1.234995,1.235407,1.217893,1.222404,0,1.222404
"EURUSD=X",2004-03-15,1.221404,1.231406,1.2213,1.227205,0,1.227205
"EURUSD=X",2004-03-16,1.226904,1.237195,1.224605,1.226106,0,1.226106
"EURUSD=X",2004-03-17,1.226001,1.229196,1.218294,1.222703,0,1.222703
"EURUSD=X",2004-03-18,1.222703,1.241897,1.222599,1.238896,0,1.238896
"EURUSD=X",2004-03-19,1.238697,1.240695,1.226407,1.226904,0,1.226904
"EURUSD=X",2004-03-22,1.227702,1.239603,1.222703,1.234598,0,1.234598
"EURUSD=X",2004-03-23,1.234598,1.236996,1.227295,1.234507,0,1.234507
"EURUSD=X",2004-03-24,1.234598,1.236996,1.211094,1.213902,0,1.213902
"EURUSD=X",2004-03-25,1.214005,1.219706,1.2108,1.213695,0,1.213695
"EURUSD=X",2004-03-26,1.213799,1.221001,1.209,1.212695,0,1.212695
"EURUSD=X",2004-03-29,1.211402,1.217004,1.206505,1.216604,0,1.216604
"EURUSD=X",2004-03-30,1.216604,1.222599,1.215599,1.218502,0,1.218502
"EURUSD=X",2004-03-31,1.218205,1.232195,1.217597,1.2313,0,1.2313
"EURUSD=X",2004-04-01,1.231194,1.238497,1.225896,1.236507,0,1.236507
"EURUSD=X",2004-04-02,1.236598,1.237195,1.2108,1.2129,0,1.2129
"EURUSD=X",2004-04-05,1.211504,1.212606,1.198998,1.201302,0,1.201302
"EURUSD=X",2004-04-06,1.201793,1.214595,1.198897,1.213106,0,1.213106
"EURUSD=X",2004-04-07,1.213003,1.219795,1.205894,1.216604,0,1.216604
"EURUSD=X",2004-04-08,1.216397,1.221702,1.206695,1.2077,0,1.2077
"EURUSD=X",2004-04-09,1.207904,1.211299,1.206695,1.208605,0,1.208605
"EURUSD=X",2004-04-12,1.209102,1.209599,1.205807,1.207307,0,1.207307
"EURUSD=X",2004-04-13,1.207307,1.208299,1.191001,1.193802,0,1.193802
"EURUSD=X",2004-04-14,1.193503,1.197304,1.187705,1.1947,0,1.1947
"EURUSD=X",2004-04-15,1.1946,1.198998,1.189994,1.198696,0,1.198696
"EURUSD=X",2004-04-16,1.198796,1.204805,1.193104,1.200293,0,1.200293
