,0
1750-01-01,1017.1
1750-01-02,1019.3
1750-01-03,1017.0
1750-01-04,1019.2
1750-01-05,1018.7
1750-01-06,1015.6
1750-01-07,1018.5
1750-01-08,1018.3
1750-01-09,1018.4
1750-01-10,1021.5
1750-01-11,1023.0
1750-01-12,1023.3
1750-01-13,1020.5
1750-01-14,1021.4
1750-01-15,1018.1
1750-01-16,1022.6
1750-01-17,1022.6
1750-01-18,1021.0
1750-01-19,1020.1
1750-01-20,1017.0
1750-01-21,1019.3
1750-01-22,1017.3
1750-01-23,1016.1
1750-01-24,1017.8
1750-01-25,1019.3
1750-01-26,1025.1
1750-01-27,1024.8
1750-01-28,1025.1
1750-01-29,1025.1
1750-01-30,1022.6
1750-01-31,1021.2
1750-02-01,1017.2
1750-02-02,1041.5
1750-02-03,1041.7
1750-02-04,1038.9
1750-02-05,1041.0
1750-02-06,1042.9
1750-02-07,1042.1
1750-02-08,1043.9
1750-02-09,1039.0
1750-02-10,1037.3
1750-02-11,1033.7
1750-02-12,1032.5
1750-02-13,1036.3
1750-02-14,1037.5
1750-02-15,1040.0
1750-02-16,1038.4
1750-02-17,1035.3
1750-02-18,1032.0
1750-02-19,1028.1
1750-02-20,1032.2
1750-02-21,1030.2
1750-02-22,1031.2
1750-02-23,1032.8
1750-02-24,1030.3
1750-02-25,1030.2
1750-02-26,1028.1
1750-02-27,1022.1
1750-02-28,1024.4
1750-03-01,1023.4
1750-03-02,1026.3
1750-03-03,1024.0
1750-03-04,1026.1
1750-03-05,1031.0
1750-03-06,1037.6
1750-03-07,1036.6
1750-03-08,1037.4
1750-03-09,1035.4
1750-03-10,1038.9
1750-03-11,1038.7
1750-03-12,1036.5
1750-03-13,1036.4
1750-03-14,1036.8
1750-03-15,1035.3
1750-03-16,1032.6
1750-03-17,1029.3
1750-03-18,1031.3
1750-03-19,1027.4
1750-03-20,1028.6
1750-03-21,1025.8
1750-03-22,1026.0
1750-03-23,1022.3
1750-03-24,1020.1
1750-03-25,1017.7
1750-03-26,1018.0
1750-03-27,1023.2
1750-03-28,1024.2
1750-03-29,1020.5
1750-03-30,1022.2
1750-03-31,1025.3
1750-04-01,1023.3
1750-04-02,1035.3
1750-04-03,1036.7
1750-04-04,1035.1
1750-04-05,1032.5
1750-04-06,1028.7
1750-04-07,1028.1
1750-04-08,1025.6
1750-04-09,1027.9
1750-04-10,1025.0
1750-04-11,1025.7
1750-04-12,1025.0
1750-04-13,1023.7
1750-04-14,1025.5
1750-04-15,1025.8
1750-04-16,1030.5
1750-04-17,1035.1
1750-04-18,1034.2
1750-04-19,1032.2
1750-04-20,1033.6
1750-04-21,1045.6
1750-04-22,1040.3
1750-04-23,1035.9
1750-04-24,1035.4
1750-04-25,1031.0
1750-04-26,1035.1
1750-04-27,1022.1
1750-04-28,1020.4
1750-04-29,1019.6
1750-04-30,1023.2
1750-05-01,1016.5
1750-05-02,1011.6
1750-05-03,1013.9
1750-05-04,1011.3
1750-05-05,1020.9
1750-05-06,1023.4
1750-05-07,1019.6
1750-05-08,1016.7
1750-05-09,1012.0
1750-05-10,1012.7
1750-05-11,1010.7
1750-05-12,1002.5
1750-05-13,991.5
1750-05-14,992.9
1750-05-15,997.1
1750-05-16,1001.6
1750-05-17,997.2
1750-05-18,1001.9
1750-05-19,1011.7
1750-05-20,1005.7
1750-05-21,1018.7
1750-05-22,1016.5
1750-05-23,1018.3
1750-05-24,1014.8
1750-05-25,1011.0
1750-05-26,1018.7
1750-05-27,1009.9
1750-05-28,1012.7
1750-05-29,1015.0
1750-05-30,1010.4
1750-05-31,1099.0
1750-06-01,1095.2
1750-06-02,1098.1
1750-06-03,1094.8
1750-06-04,1097.9
1750-06-05,1085.2
1750-06-06,1086.0
1750-06-07,1088.2
1750-06-08,1088.6
1750-06-09,1085.8
1750-06-10,1080.4
1750-06-11,1077.2
1750-06-12,1075.7
1750-06-13,1080.3
1750-06-14,1081.6
1750-06-15,1080.3
1750-06-16,1094.8
1750-06-17,1097.2
1750-06-18,1096.2
1750-06-19,1095.4
1750-06-20,1093.0
1750-06-21,1084.3
1750-06-22,1079.6
1750-06-23,1080.8
1750-06-24,1083.2
1750-06-25,1086.6
1750-06-26,1078.6
1750-06-27,1078.3
1750-06-28,1077.1
1750-06-29,1080.3
1750-06-30,1082.6
1750-07-01,1079.7
1750-07-02,1083.5
1750-07-03,1080.0
1750-07-04,1079.4
1750-07-05,1079.4
1750-07-06,1082.1
1750-07-07,1080.8
1750-07-08,1077.5
1750-07-09,1079.7
1750-07-10,1078.8
1750-07-11,1083.1
1750-07-12,1079.7
1750-07-13,1078.1
1750-07-14,1077.3
1750-07-15,1075.5
1750-07-16,1080.2
1750-07-17,1090.3
1750-07-18,1089.6
1750-07-19,1087.8
1750-07-20,1081.1
1750-07-21,1071.7
1750-07-22,1071.4
1750-07-23,1069.8
1750-07-24,1070.5
1750-07-25,1066.4
1750-07-26,1070.9
1750-07-27,1065.5
1750-07-28,1068.6
1750-07-29,1067.1
1750-07-30,1068.3
1750-07-31,1074.9
1750-08-01,1069.2
1750-08-02,1068.6
1750-08-03,1076.2
1750-08-04,1080.7
1750-08-05,1077.7
1750-08-06,1077.6
1750-08-07,1083.7
1750-08-08,1084.4
1750-08-09,1084.4
1750-08-10,1091.4
1750-08-11,1090.4
1750-08-12,1096.5
1750-08-13,1095.0
1750-08-14,1096.9
1750-08-15,1099.8
1750-08-16,1096.1
