,0
1750-01-31,8000.0
1750-02-28,8350.0
1750-03-31,8570.0
1750-04-30,7700.0
1750-05-31,7080.0
1750-06-30,6520.0
1750-07-31,6070.0
1750-08-31,6650.0
1750-09-30,6830.0
1750-10-31,5710.0
1750-11-30,5260.0
1750-12-31,5470.0
1751-01-31,7870.0
1751-02-28,7360.0
1751-03-31,8470.0
1751-04-30,7880.0
1751-05-31,6750.0
1751-06-30,6860.0
1751-07-31,6220.0
1751-08-31,6650.0
1751-09-30,5450.0
1751-10-31,5280.0
1751-11-30,4970.0
1751-12-31,5550.0
1752-01-31,7750.0
1752-02-29,7760.0
1752-03-31,7190.0
1752-04-30,7440.0
1752-05-31,6590.0
1752-06-30,6210.0
1752-07-31,6010.0
1752-08-31,6390.0
1752-09-30,5780.0
1752-10-31,5700.0
1752-11-30,4680.0
1752-12-31,4970.0
1753-01-31,6850.0
1753-02-28,6740.0
1753-03-31,7490.0
1753-04-30,6250.0
1753-05-31,6900.0
1753-06-30,5870.0
1753-07-31,5610.0
1753-08-31,6310.0
1753-09-30,6110.0
1753-10-31,6090.0
1753-11-30,5810.0
1753-12-31,6060.0
1754-01-31,6950.0
1754-02-28,7820.0
1754-03-31,8270.0
1754-04-30,7840.0
1754-05-31,7850.0
1754-06-30,6710.0
1754-07-31,6220.0
1754-08-31,7430.0
1754-09-30,6560.0
1754-10-31,7080.0
1754-11-30,6680.0
1754-12-31,6900.0
1755-01-31,8680.0
1755-02-28,8450.0
1755-03-31,8670.0
1755-04-30,8470.0
1755-05-31,7910.0
1755-06-30,8140.0
1755-07-31,7310.0
1755-08-31,7860.0
1755-09-30,7730.0
1755-10-31,7330.0
1755-11-30,7430.0
1755-12-31,7150.0
1756-01-31,8720.0
1756-02-29,8340.0
1756-03-31,8840.0
1756-04-30,8780.0
1756-05-31,8250.0
1756-06-30,8180.0
1756-07-31,7570.0
1756-08-31,9280.0
1756-09-30,9220.0
1756-10-31,9140.0
1756-11-30,8950.0
1756-12-31,8540.0
1757-01-31,9360.0
1757-02-28,9750.0
1757-03-31,9270.0
1757-04-30,8690.0
1757-05-31,8200.0
1757-06-30,7610.0
1757-07-31,7160.0
1757-08-31,8280.0
1757-09-30,7370.0
1757-10-31,7130.0
1757-11-30,6840.0
1757-12-31,7260.0
1758-01-31,7430.0
1758-02-28,7950.0
1758-03-31,7790.0
1758-04-30,8090.0
1758-05-31,7480.0
1758-06-30,6700.0
1758-07-31,6650.0
1758-08-31,6960.0
1758-09-30,6410.0
1758-10-31,6310.0
1758-11-30,5930.0
1758-12-31,5980.0
1759-01-31,6730.0
1759-02-28,7410.0
1759-03-31,7200.0
1759-04-30,6960.0
1759-05-31,6780.0
1759-06-30,5720.0
1759-07-31,6040.0
1759-08-31,5990.0
1759-09-30,6210.0
1759-10-31,6460.0
1759-11-30,5490.0
1759-12-31,5790.0
1760-01-31,6350.0
1760-02-29,6230.0
1760-03-31,5940.0
1760-04-30,6400.0
1760-05-31,6610.0
1760-06-30,5840.0
1760-07-31,5350.0
1760-08-31,6160.0
1760-09-30,6260.0
1760-10-31,5760.0
1760-11-30,5450.0
1760-12-31,5350.0
1761-01-31,6230.0
1761-02-28,6520.0
1761-03-31,7230.0
1761-04-30,6500.0
1761-05-31,6230.0
1761-06-30,5960.0
1761-07-31,4970.0
1761-08-31,5350.0
1761-09-30,4840.0
1761-10-31,4710.0
1761-11-30,4670.0
1761-12-31,4670.0
1762-01-31,5190.0
1762-02-28,5800.0
1762-03-31,6120.0
1762-04-30,5140.0
1762-05-31,4670.0
1762-06-30,4190.0
1762-07-31,4430.0
1762-08-31,4840.0
1762-09-30,4660.0
1762-10-31,4350.0
