,0
1750-01-31,7407.412
1750-04-30,7528.566
1750-07-31,7374.709
1750-10-31,7395.5146
1751-01-31,7654.008
1751-04-30,7686.8477
1751-07-31,7578.191
1751-10-31,7904.377
1752-01-31,7744.0493
1752-04-30,7889.909
1752-07-31,7572.1113
1752-10-31,7526.693
1753-01-31,7331.8457
1753-04-30,7433.141
1753-07-31,7235.135
1753-10-31,7278.0073
1754-01-31,6560.2314
1754-04-30,6958.5474
1754-07-31,6635.4824
1754-10-31,6588.6646
1755-01-31,6679.074
1755-04-30,6702.8555
1755-07-31,6636.5166
1755-10-31,6766.9473
1756-01-31,6818.1665
1756-04-30,6790.6436
1756-07-31,6598.952
1756-10-31,6608.5273
1757-01-31,6765.914
1757-04-30,6992.949
1757-07-31,6931.539
1757-10-31,7161.2407
1758-01-31,6981.304
