,0
1750-01-04,1089.2
1750-01-11,1078.91
1750-01-18,1079.88
1750-01-25,1063.58
1750-02-01,1060.61
1750-02-08,1056.93
1750-02-15,1056.63
1750-02-22,1049.51
1750-03-01,1049.32
1750-03-08,1049.89
1750-03-15,1058.65
1750-03-22,1062.35
1750-03-29,1064.38
1750-04-05,1061.96
1750-04-12,1071.06
1750-04-19,1073.73
1750-04-26,1066.97
1750-05-03,1066.17
1750-05-10,1064.43
1750-05-17,1075.78
1750-05-24,1070.45
1750-05-31,1076.27
1750-06-07,1072.98
1750-06-14,1087.71
1750-06-21,1088.29
1750-06-28,1095.81
1750-07-05,1093.18
1750-07-12,1097.8
1750-07-19,1100.55
1750-07-26,1089.55
1750-08-02,1086.26
1750-08-09,1086.63
1750-08-16,1098.57
1750-08-23,1091.15
1750-08-30,1091.59
1750-09-06,1088.38
1750-09-13,1093.82
1750-09-20,1092.42
1750-09-27,1093.99
1750-10-04,1086.3
1750-10-11,1097.82
1750-10-18,1104.85
1750-10-25,1097.33
1750-11-01,1100.56
1750-11-08,1097.24
1750-11-15,1117.6
1750-11-22,1119.59
1750-11-29,1121.28
1750-12-06,1119.58
1750-12-13,1131.3
1750-12-20,1135.79
1750-12-27,1142.59
1751-01-03,1138.05
1751-01-10,1122.09
1751-01-17,1119.01
1751-01-24,1104.14
1751-01-31,1104.56
1751-02-07,1097.51
1751-02-14,1114.17
1751-02-21,1105.5
1751-02-28,1105.82
1751-03-07,1101.62
1751-03-14,1114.33
1751-03-21,1118.28
1751-03-28,1118.86
1751-04-04,1116.69
1751-04-11,1126.44
1751-04-18,1144.34
1751-04-25,1133.41
1751-05-02,1140.9
1751-05-09,1127.98
1751-05-16,1139.46
1751-05-23,1134.09
1751-05-30,1138.07
1751-06-06,1135.72
1751-06-13,1148.23
1751-06-20,1144.12
1751-06-27,1150.09
1751-07-04,1154.58
1751-07-11,1153.86
1751-07-18,1164.4
1751-07-25,1150.2
1751-08-01,1156.06
1751-08-08,1149.12
1751-08-15,1162.7
