,0
1750-01-31,5172.1
1751-01-31,5133.5
1752-01-31,5186.9
1753-01-31,5084.6
1754-01-31,5182.0
1755-01-31,5414.3
1756-01-31,5576.2
1757-01-31,5752.9
1758-01-31,5955.2
1759-01-31,6087.8
1760-01-31,6238.9
1761-01-31,6317.2
1762-01-31,6262.7
1763-01-31,6361.0
1764-01-31,6427.4
1765-01-31,6654.9
1766-01-31,6835.4
1767-01-31,6925.5
1768-01-31,7073.5
1769-01-31,7144.0
1770-01-31,7230.6
1771-01-31,7349.6
1772-01-31,7339.2
1773-01-31,7250.8
1774-01-31,7294.6
1775-01-31,7393.9
1776-01-31,7560.9
1777-01-31,7651.4
1778-01-31,7587.3
1779-01-31,7530.5
1780-01-31,7261.1
1781-01-31,7290.2
1782-01-31,7392.6
1783-01-31,7527.6
1784-01-31,7594.8
1785-01-31,7720.7
1786-01-31,7823.2
