,0
2012-01-01,1640.0
2012-01-02,2239.0
2012-01-03,2678.0
2012-01-04,2934.0
2012-01-05,2913.0
2012-01-06,2723.0
2012-01-07,2049.0
2012-01-08,2151.0
2012-01-09,2883.0
2012-01-10,3321.0
2012-01-11,3908.0
2012-01-12,3621.0
2012-01-13,3287.0
2012-01-14,2468.0
2012-01-15,2504.0
2012-01-16,3028.0
2012-01-17,3474.0
2012-01-18,3020.0
2012-01-19,3296.0
2012-01-20,3855.0
2012-01-21,2518.0
2012-01-22,2653.0
2012-01-23,3431.0
2012-01-24,4907.0
2012-01-25,3845.0
2012-01-26,3790.0
2012-01-27,3514.0
2012-01-28,3543.0
2012-01-29,2902.0
2012-01-30,3674.0
2012-01-31,3552.0
2012-02-01,3733.0
2012-02-02,4143.0
2012-02-03,3496.0
2012-02-04,2728.0
2012-02-05,4933.0
2012-02-06,5525.0
2012-02-07,4809.0
2012-02-08,6323.0
2012-02-09,4282.0
2012-02-10,4062.0
2012-02-11,3371.0
2012-02-12,3649.0
2012-02-13,4014.0
2012-02-14,3464.0
2012-02-15,3310.0
2012-02-16,3351.0
2012-02-17,3066.0
2012-02-18,2560.0
2012-02-19,2515.0
2012-02-20,2997.0
2012-02-21,3563.0
2012-02-22,3604.0
2012-02-23,3456.0
2012-02-24,3341.0
2012-02-25,2436.0
2012-02-26,2629.0
2012-02-27,3490.0
2012-02-28,3577.0
2012-02-29,3441.0
2012-03-01,3196.0
2012-03-02,2821.0
2012-03-03,2350.0
2012-03-04,2704.0
2012-03-05,3242.0
2012-03-06,3017.0
2012-03-07,3215.0
2012-03-08,3665.0
2012-03-09,3265.0
2012-03-10,2216.0
2012-03-11,2354.0
2012-03-12,3044.0
2012-03-13,3007.0
2012-03-14,3026.0
2012-03-15,2973.0
2012-03-16,2533.0
2012-03-17,2173.0
2012-03-18,2518.0
2012-03-19,3454.0
2012-03-20,3384.0
2012-03-21,4458.0
2012-03-22,45228.0
2012-03-23,35722.0
2012-03-24,17163.0
2012-03-25,12216.0
2012-03-26,12386.0
2012-03-27,9697.0
2012-03-28,9298.0
2012-03-29,7515.0
2012-03-30,8239.0
2012-03-31,8938.0
2012-04-01,17109.0
2012-04-02,23738.0
2012-04-03,13589.0
2012-04-04,10770.0
2012-04-05,11146.0
2012-04-06,23758.0
2012-04-07,16700.0
2012-04-08,10424.0
2012-04-09,13232.0
2012-04-10,7588.0
2012-04-11,7040.0
2012-04-12,6559.0
2012-04-13,6794.0
2012-04-14,4252.0
2012-04-15,3989.0
2012-04-16,4629.0
2012-04-17,4383.0
2012-04-18,4642.0
2012-04-19,4113.0
2012-04-20,3637.0
2012-04-21,2579.0
2012-04-22,2996.0
2012-04-23,3843.0
2012-04-24,3881.0
2012-04-25,3879.0
2012-04-26,3913.0
2012-04-27,3342.0
2012-04-28,2521.0
2012-04-29,2931.0
2012-04-30,3868.0
2012-05-01,5378.0
2012-05-02,4499.0
2012-05-03,3879.0
2012-05-04,3308.0
2012-05-05,2847.0
2012-05-06,3720.0
2012-05-07,3586.0
2012-05-08,3777.0
2012-05-09,3290.0
2012-05-10,3278.0
2012-05-11,2798.0
2012-05-12,2357.0
2012-05-13,2425.0
2012-05-14,3387.0
2012-05-15,3407.0
2012-05-16,3386.0
2012-05-17,3184.0
2012-05-18,2802.0
2012-05-19,3051.0
2012-05-20,3453.0
2012-05-21,4100.0
2012-05-22,5021.0
2012-05-23,3910.0
2012-05-24,3770.0
2012-05-25,3108.0
2012-05-26,2322.0
2012-05-27,7445.0
2012-05-28,4683.0
2012-05-29,3836.0
2012-05-30,3475.0
2012-05-31,3337.0
2012-06-01,2726.0
2012-06-02,2290.0
2012-06-03,2775.0
2012-06-04,3261.0
2012-06-05,2949.0
2012-06-06,2829.0
2012-06-07,2749.0
2012-06-08,2957.0
2012-06-09,2542.0
2012-06-10,2569.0
2012-06-11,3123.0
2012-06-12,3016.0
2012-06-13,2976.0
2012-06-14,3031.0
2012-06-15,2582.0
2012-06-16,2278.0
2012-06-17,2317.0
2012-06-18,2860.0
2012-06-19,2758.0
2012-06-20,2869.0
2012-06-21,2753.0
2012-06-22,3539.0
2012-06-23,2772.0
2012-06-24,2510.0
2012-06-25,2806.0
2012-06-26,2992.0
2012-06-27,2998.0
2012-06-28,3058.0
2012-06-29,2644.0
2012-06-30,4457.0
2012-07-01,5793.0
2012-07-02,9457.0
2012-07-03,9578.0
2012-07-04,4274.0
2012-07-05,3503.0
2012-07-06,3234.0
2012-07-07,2612.0
2012-07-08,3521.0
2012-07-09,3811.0
2012-07-10,3908.0
2012-07-11,3845.0
2012-07-12,3432.0
2012-07-13,3887.0
2012-07-14,2904.0
2012-07-15,2993.0
2012-07-16,3356.0
2012-07-17,3468.0
2012-07-18,5084.0
2012-07-19,3355.0
2012-07-20,2968.0
2012-07-21,2431.0
2012-07-22,2460.0
2012-07-23,3075.0
2012-07-24,3315.0
2012-07-25,6221.0
2012-07-26,4391.0
2012-07-27,7025.0
2012-07-28,4447.0
2012-07-29,2755.0
2012-07-30,5214.0
2012-07-31,6202.0
2012-08-01,3881.0
2012-08-02,6488.0
2012-08-03,3792.0
2012-08-04,2869.0
2012-08-05,2818.0
2012-08-06,3712.0
2012-08-07,3201.0
2012-08-08,3024.0
2012-08-09,3170.0
2012-08-10,2850.0
2012-08-11,3548.0
2012-08-12,2352.0
2012-08-13,2704.0
2012-08-14,2747.0
2012-08-15,2327.0
2012-08-16,2338.0
2012-08-17,2369.0
2012-08-18,2886.0
2012-08-19,2841.0
2012-08-20,3048.0
2012-08-21,4409.0
2012-08-22,6450.0
2012-08-23,5368.0
2012-08-24,3809.0
2012-08-25,2344.0
2012-08-26,2370.0
2012-08-27,2865.0
2012-08-28,3927.0
2012-08-29,3467.0
2012-08-30,3104.0
2012-08-31,2613.0
2012-09-01,2219.0
2012-09-02,3654.0
2012-09-03,11124.0
2012-09-04,6888.0
2012-09-05,5848.0
2012-09-06,4575.0
2012-09-07,3944.0
2012-09-08,2341.0
2012-09-09,2934.0
2012-09-10,4278.0
2012-09-11,3493.0
2012-09-12,3308.0
2012-09-13,3920.0
2012-09-14,3202.0
2012-09-15,2406.0
2012-09-16,2653.0
2012-09-17,3496.0
2012-09-18,3665.0
2012-09-19,3354.0
2012-09-20,3276.0
2012-09-21,3259.0
2012-09-22,3464.0
2012-09-23,2970.0
2012-09-24,3450.0
2012-09-25,3815.0
2012-09-26,4560.0
2012-09-27,4388.0
2012-09-28,3143.0
2012-09-29,2852.0
2012-09-30,2791.0
2012-10-01,3240.0
2012-10-02,3617.0
2012-10-03,4623.0
2012-10-04,4072.0
2012-10-05,3222.0
2012-10-06,2552.0
2012-10-07,3486.0
2012-10-08,3371.0
2012-10-09,3503.0
2012-10-10,3311.0
2012-10-11,4332.0
2012-10-12,3761.0
2012-10-13,5637.0
2012-10-14,5138.0
2012-10-15,5174.0
2012-10-16,6641.0
2012-10-17,5775.0
2012-10-18,5372.0
2012-10-19,4435.0
2012-10-20,3861.0
2012-10-21,3625.0
2012-10-22,4818.0
2012-10-23,20367.0
2012-10-24,8695.0
2012-10-25,6095.0
2012-10-26,4478.0
2012-10-27,3264.0
2012-10-28,4005.0
2012-10-29,4266.0
2012-10-30,5757.0
2012-10-31,5126.0
2012-11-01,3789.0
2012-11-02,3659.0
2012-11-03,2770.0
2012-11-04,3284.0
2012-11-05,3688.0
2012-11-06,4109.0
2012-11-07,3951.0
2012-11-08,3707.0
2012-11-09,3401.0
2012-11-10,2506.0
2012-11-11,3172.0
2012-11-12,4603.0
2012-11-13,3734.0
2012-11-14,4216.0
2012-11-15,4607.0
2012-11-16,3438.0
2012-11-17,2617.0
2012-11-18,2985.0
2012-11-19,4365.0
2012-11-20,3585.0
2012-11-21,3339.0
2012-11-22,2916.0
2012-11-23,2800.0
2012-11-24,2413.0
2012-11-25,2679.0
2012-11-26,3476.0
2012-11-27,3696.0
2012-11-28,4290.0
2012-11-29,4470.0
2012-11-30,3724.0
2012-12-01,3022.0
2012-12-02,3316.0
2012-12-03,3989.0
2012-12-04,4660.0
2012-12-05,5211.0
2012-12-06,5343.0
2012-12-07,4208.0
2012-12-08,3115.0
2012-12-09,3151.0
2012-12-10,4378.0
2012-12-11,9618.0
2012-12-12,8435.0
2012-12-13,6610.0
2012-12-14,5060.0
2012-12-15,3857.0
2012-12-16,3127.0
2012-12-17,3321.0
2012-12-18,3802.0
2012-12-19,3295.0
2012-12-20,3510.0
2012-12-21,4557.0
2012-12-22,2628.0
2012-12-23,2933.0
2012-12-24,3238.0
2012-12-25,2495.0
2012-12-26,2591.0
2012-12-27,2563.0
2012-12-28,3940.0
2012-12-29,2808.0
2012-12-30,2492.0
2012-12-31,22021.0
2013-01-01,12275.0
2013-01-02,5262.0
2013-01-03,5254.0
2013-01-04,4693.0
2013-01-05,3154.0
2013-01-06,3061.0
2013-01-07,4021.0
2013-01-08,5457.0
2013-01-09,4981.0
2013-01-10,4870.0
2013-01-11,40276.0
2013-01-12,61341.0
2013-01-13,73444.0
2013-01-14,112893.0
2013-01-15,107484.0
2013-01-16,99284.0
2013-01-17,74612.0
2013-01-18,51046.0
2013-01-19,32246.0
2013-01-20,35528.0
2013-01-21,35640.0
2013-01-22,27518.0
2013-01-23,25001.0
2013-01-24,21824.0
2013-01-25,24022.0
2013-01-26,22818.0
2013-01-27,30529.0
2013-01-28,33645.0
2013-01-29,38674.0
2013-01-30,26434.0
2013-01-31,17422.0
2013-02-01,14131.0
2013-02-02,21293.0
2013-02-03,19834.0
2013-02-04,15630.0
2013-02-05,13000.0
2013-02-06,18110.0
2013-02-07,10974.0
2013-02-08,8593.0
2013-02-09,7555.0
2013-02-10,8522.0
2013-02-11,9616.0
2013-02-12,7418.0
2013-02-13,6931.0
2013-02-14,6071.0
2013-02-15,6520.0
2013-02-16,4574.0
2013-02-17,4812.0
2013-02-18,5426.0
2013-02-19,6161.0
2013-02-20,5928.0
2013-02-21,5627.0
2013-02-22,5783.0
2013-02-23,5922.0
2013-02-24,4885.0
2013-02-25,5395.0
2013-02-26,5784.0
2013-02-27,5959.0
2013-02-28,5356.0
2013-03-01,4957.0
2013-03-02,4268.0
2013-03-03,5906.0
2013-03-04,5353.0
2013-03-05,6235.0
2013-03-06,5217.0
2013-03-07,5274.0
2013-03-08,4537.0
2013-03-09,3494.0
2013-03-10,4037.0
2013-03-11,4807.0
2013-03-12,4673.0
2013-03-13,4561.0
2013-03-14,4294.0
2013-03-15,3669.0
2013-03-16,2902.0
2013-03-17,3302.0
2013-03-18,4207.0
2013-03-19,4473.0
2013-03-20,4883.0
2013-03-21,4473.0
2013-03-22,3958.0
2013-03-23,3301.0
2013-03-24,4011.0
2013-03-25,4397.0
2013-03-26,3916.0
2013-03-27,3997.0
2013-03-28,4027.0
2013-03-29,2857.0
2013-03-30,2676.0
2013-03-31,3886.0
2013-04-01,4198.0
2013-04-02,4131.0
2013-04-03,4132.0
2013-04-04,3483.0
2013-04-05,3166.0
2013-04-06,2726.0
2013-04-07,2751.0
2013-04-08,4122.0
2013-04-09,4378.0
2013-04-10,4164.0
2013-04-11,3750.0
2013-04-12,3650.0
2013-04-13,2598.0
2013-04-14,2787.0
2013-04-15,3723.0
2013-04-16,4135.0
2013-04-17,3876.0
2013-04-18,3956.0
2013-04-19,3113.0
2013-04-20,2457.0
2013-04-21,3492.0
2013-04-22,3714.0
2013-04-23,3574.0
2013-04-24,3015.0
2013-04-25,2811.0
2013-04-26,1889.0
2013-04-27,1260.0
2013-04-28,1296.0
2013-04-29,1643.0
2013-04-30,1643.0
2013-05-01,1435.0
2013-05-02,2222.0
2013-05-03,1448.0
2013-05-04,1206.0
2013-05-05,1398.0
2013-05-06,1481.0
2013-05-07,1553.0
2013-05-08,1515.0
2013-05-09,1456.0
